Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Ohio State,12-2,11.6 (-0.4),99.1%,20.8,1,38.7,7,18.2,35
Alabama,13-1,12.1 (-0.9),98.8%,20.0,2,33.6,23,13.8,52
Georgia,13-2,12.8 (-0.2),97.5%,17.5,3,36.0,14,19.2,3
Penn State,11-2,10.8 (-0.2),97.3%,17.3,4,37.6,10,20.0,88
Washington,10-3,10.9 (0.9),96.9%,16.8,5,34.7,18,17.4,105
Wisconsin,13-1,12.0 (-1.0),96.8%,16.6,6,30.7,41,14.5,28
Central Florida,13-0,11.7 (-1.3),95.7%,15.5,7,44.1,2,28.8,51
Clemson,12-2,11.7 (-0.3),95.6%,15.4,8,30.0,45,13.9,114
Oklahoma,12-2,11.9 (-0.1),95.1%,15.0,9,47.2,1,32.2,71
Auburn,10-4,10.6 (0.6),94.2%,14.3,10,31.6,34,17.4,61
Florida Atlantic,11-3,11.3 (0.3),92.9%,13.4,11,38.8,6,26.0,13
Oklahoma State,10-3,10.1 (0.1),92.5%,13.2,12,41.7,3,28.5,72
Notre Dame,10-3,9.6 (-0.4),88.8%,11.3,13,33.6,24,22.4,59
TCU,11-3,10.1 (-0.9),88.2%,11.0,14,31.2,39,20.8,9
South Florida,10-2,9.9 (-0.1),86.8%,10.5,15,33.5,27,23.0,73
Louisville,8-5,8.5 (0.5),83.8%,9.4,16,38.8,5,29.8,39
Miami-FL,10-3,9.4 (-0.6),83.5%,9.2,17,31.4,36,21.7,100
Appalachian State,9-4,9.3 (0.3),83.3%,9.2,18,31.7,33,22.1,99
LSU,9-4,9.0 (0.0),83.2%,9.1,19,30.5,42,21.1,86
Memphis,10-3,9.3 (-0.7),83.0%,9.1,20,41.0,4,32.3,41
Michigan State,10-3,9.4 (-0.6),82.9%,9.0,21,25.8,92,17.2,24
Ohio,9-4,9.0 (0.0),82.1%,8.8,22,33.2,30,25.0,14
Fresno State,10-4,10.0 (0.0),80.3%,8.2,23,28.1,68,20.1,49
Arkansas State,7-5,8.8 (1.8),80.2%,8.2,24,34.5,19,26.7,40
Boise State,11-3,10.0 (-1.0),80.1%,8.2,25,30.9,40,23.1,29
USC,11-3,10.1 (-0.9),79.9%,8.1,26,35.1,16,26.6,89
Michigan,8-5,8.3 (0.3),79.3%,7.9,27,26.5,85,18.7,58
Mississippi State,9-4,8.0 (-1.0),79.2%,7.9,28,28.6,63,21.3,16
Toledo,11-3,10.3 (-0.7),78.1%,7.6,29,34.3,20,26.8,64
Virginia Tech,9-4,8.2 (-0.8),78.1%,7.6,30,25.6,96,18.4,31
Troy,11-2,8.8 (-2.2),77.8%,7.5,31,29.2,58,21.0,125
Stanford,9-5,8.6 (-0.4),76.3%,7.1,32,33.4,29,27.1,2
Utah,7-6,8.0 (1.0),75.6%,6.9,33,29.5,55,23.3,10
San Diego State,10-3,8.3 (-1.7),74.6%,6.6,34,30.2,44,23.9,36
Missouri,7-6,7.6 (0.6),74.1%,6.5,35,36.4,13,30.6,7
Houston,7-5,7.6 (0.6),73.9%,6.4,36,31.2,37,25.3,22
Wake Forest,8-5,7.2 (-0.8),72.6%,6.1,37,33.8,22,27.7,70
NC State,9-4,9.0 (0.0),71.9%,5.9,38,33.9,21,27.2,116
Washington State,9-4,7.6 (-1.4),69.8%,5.4,39,28.6,62,23.0,79
Southern Miss,8-5,8.3 (0.3),69.4%,5.3,40,28.5,65,23.1,69
Purdue,7-6,7.8 (0.8),68.6%,5.1,41,28.8,60,23.3,90
Ole Miss,6-6,7.8 (1.8),68.4%,5.1,42,37.8,9,33.4,17
Florida State,7-6,6.9 (-0.1),67.5%,4.9,43,27.4,76,23.2,8
Colorado State,7-6,7.7 (0.7),67.2%,4.8,44,36.4,12,32.3,5
Northwestern,10-3,7.9 (-2.1),67.1%,4.8,45,26.8,82,21.9,77
Iowa State,8-5,7.7 (-0.3),67.0%,4.7,46,27.9,71,23.2,68
Oregon,7-6,7.7 (0.7),66.9%,4.7,47,32.2,32,27.2,92
Arizona,7-6,8.0 (1.0),63.8%,4.0,48,38.1,8,33.8,85
Iowa,8-5,7.3 (-0.7),63.0%,3.8,49,24.0,106,20.6,38
Texas,7-6,7.1 (0.1),62.3%,3.7,50,25.1,99,21.5,63
Indiana,5-7,5.8 (0.8),61.6%,3.5,51,25.3,98,22.4,11
Marshall,8-5,7.4 (-0.6),61.6%,3.5,52,25.7,94,22.2,66
Wyoming,8-5,7.7 (-0.3),61.2%,3.4,53,20.7,119,17.7,32
Northern Illinois,8-5,7.8 (-0.2),60.8%,3.3,54,24.4,104,20.4,119
Miami-OH,5-7,7.8 (2.8),60.3%,3.2,55,27.2,80,24.3,47
UTSA,6-5,6.3 (0.3),60.3%,3.2,56,24.0,107,21.3,23
Utah State,6-7,7.3 (1.3),58.5%,2.8,57,27.3,78,24.7,56
Texas Tech,6-7,6.9 (0.9),58.0%,2.7,58,33.6,25,30.3,109
Army,10-3,7.2 (-2.8),55.5%,2.2,59,32.4,31,29.4,127
South Carolina,9-4,7.5 (-1.5),55.0%,2.1,60,26.0,88,23.5,95
Texas A&amp;M,7-6,6.2 (-0.8),54.6%,2.0,61,29.9,48,28.5,18
North Texas,9-5,7.8 (-1.2),54.2%,1.9,62,33.5,28,32.1,25
West Virginia,7-6,7.0 (0.0),53.0%,1.7,63,33.6,26,31.6,93
Kansas State,8-5,6.1 (-1.9),51.2%,1.3,64,29.6,52,29.1,1
Duke,7-6,6.6 (-0.4),50.7%,1.2,65,25.8,90,24.5,74
Boston College,7-6,6.7 (-0.3),49.9%,1.0,66,24.9,101,23.5,91
SMU,7-6,6.6 (-0.4),49.7%,1.0,67,36.7,11,35.3,98
Middle Tennessee,7-6,7.0 (0.0),49.6%,0.9,68,25.6,95,25.0,44
Eastern Michigan,5-7,6.4 (1.4),49.3%,0.9,69,26.0,87,24.7,104
Navy,7-6,6.5 (-0.5),49.2%,0.9,70,31.2,38,29.8,106
Louisiana Tech,7-6,7.0 (0.0),48.6%,0.7,71,29.3,57,28.8,50
New Mexico State,7-6,7.2 (0.2),48.4%,0.7,72,29.7,50,28.4,107
Georgia Tech,5-6,5.8 (0.8),47.4%,0.5,73,28.7,61,27.7,103
Western Michigan,6-6,5.9 (-0.1),46.0%,0.2,74,27.3,79,27.3,53
Buffalo,6-6,6.4 (0.4),46.0%,0.2,75,29.6,53,28.7,123
UAB,8-5,7.5 (-0.5),45.8%,0.1,76,25.7,93,25.6,67
UCLA,6-7,6.4 (0.4),45.6%,0.1,77,35.4,15,35.4,65
Temple,7-6,7.6 (0.6),44.4%,-0.2,78,24.6,102,24.5,87
Central Michigan,8-5,6.6 (-1.4),42.1%,-0.6,79,25.8,91,25.7,118
Vanderbilt,5-7,5.5 (0.5),39.8%,-1.1,80,27.5,73,27.9,128
Arizona State,7-6,5.4 (-1.6),38.9%,-1.3,81,31.5,35,32.9,60
Pittsburgh,5-7,5.7 (0.7),38.4%,-1.5,82,27.6,72,28.8,82
Massachusetts,4-8,5.2 (1.2),37.2%,-1.7,83,28.5,66,29.5,115
Western Kentucky,6-7,6.4 (0.4),37.1%,-1.7,84,27.4,77,28.9,83
Virginia,6-7,6.1 (0.1),36.8%,-1.8,85,23.3,109,24.7,96
