Team,Record,2ndO wins (diff),S&P+ (pctl),S&P+ (margin),Overall rank,Off S&P+,Off rank,Def S&P+,Def rank
Alabama,14-1,13.8 (-0.2),99.8%,34.0,1,40.4,5,6.7,51
Clemson,14-1,13.0 (-1.0),98.9%,26.9,2,41.2,2,13.7,85
Michigan,10-3,10.7 (0.7),98.9%,26.8,3,33.8,41,7.7,39
LSU,8-4,9.2 (1.2),98.2%,24.6,4,37.1,22,12.8,61
Ohio State,11-2,9.0 (-2.0),98.2%,24.6,5,36.8,23,13.6,14
Florida State,10-3,10.1 (0.1),96.7%,21.7,6,40.9,3,19.3,58
Washington,12-2,11.5 (-0.5),95.8%,20.6,7,38.2,15,18.0,50
Penn State,11-3,10.6 (-0.4),94.9%,19.4,8,37.8,18,19.8,11
USC,10-3,9.4 (-0.6),94.8%,19.3,9,39.1,12,21.0,19
Oklahoma,11-2,10.8 (-0.2),94.6%,19.1,10,46.8,1,27.9,54
Wisconsin,11-3,10.3 (-0.7),93.6%,18.2,11,32.3,49,14.6,44
Louisville,9-4,9.6 (0.6),93.4%,18.1,12,39.2,10,21.0,73
Auburn,8-5,7.9 (-0.1),92.9%,17.6,13,34.6,32,18.4,15
Miami-FL,9-4,9.4 (0.4),91.1%,16.3,14,34.5,34,19.6,12
Florida,9-4,7.8 (-1.2),87.7%,14.1,15,25.9,88,13.4,2
Western Kentucky,11-3,11.1 (0.1),85.1%,12.8,16,38.8,13,26.5,43
Virginia Tech,10-4,9.0 (-1.0),83.5%,12.0,17,31.9,51,20.3,48
Colorado,10-4,9.2 (-0.8),82.8%,11.7,18,32.4,47,19.6,103
Boise State,10-3,10.2 (0.2),82.4%,11.6,19,37.8,19,26.0,76
Pittsburgh,8-5,8.2 (0.2),81.4%,11.2,20,40.5,4,28.9,81
North Carolina,8-5,8.5 (0.5),81.4%,11.1,21,36.3,26,26.6,9
Oklahoma State,10-3,9.3 (-0.7),81.3%,11.1,22,39.5,9,29.4,28
